year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,BEN,Benin,BJ,Oueme,BJ10,Adjohoun,BJ1002,49819,47123,96942,8055,6833,6087,4499,4359,3869,2927,2718,2262,2246,1878,1221,1004,811,476,352,222,8307,7066,6291,5166,4111,3410,2560,2003,1684,1698,1542,1019,931,618,342,244,131,16362,13899,12378,9665,8470,7279,5487,4721,3946,3944,3420,2240,1935,1429,818,596,353
2024,BEN,Benin,BJ,Oueme,BJ10,Aguegues,BJ1003,35621,35968,71589,6046,5486,4828,4022,3379,2651,2179,1755,1657,1093,1047,408,552,174,159,102,83,6241,5727,4978,4262,3470,2646,1891,1466,1402,1062,1100,504,634,247,206,74,58,12287,11213,9806,8284,6849,5297,4070,3221,3059,2155,2147,912,1186,421,365,176,141
2024,BEN,Benin,BJ,Oueme,BJ10,Akpo-Misserete,BJ1004,108098,105791,213889,19412,15547,13121,10196,9823,9410,7299,6111,4365,3953,2884,1735,1391,1220,765,510,356,20508,15930,13408,10516,9111,8650,7120,5354,4087,3598,2827,1557,1212,991,501,280,141,39920,31477,26529,20712,18934,18060,14419,11465,8452,7551,5711,3292,2603,2211,1266,790,497
2024,BEN,Benin,BJ,Oueme,BJ10,Avrankou,BJ1005,99892,96210,196102,17752,13299,11588,8950,9082,8607,6556,5783,4273,4160,3222,2063,1576,1351,815,459,356,18586,14281,11756,9401,8464,8150,6060,4904,3676,3292,2645,1714,1320,964,508,264,225,36338,27580,23344,18351,17546,16757,12616,10687,7949,7452,5867,3777,2896,2315,1323,723,581
2024,BEN,Benin,BJ,Oueme,BJ10,Bonou,BJ1006,32879,30968,63847,5246,4529,4188,3376,2742,2682,2034,1889,1420,1373,992,759,484,457,317,247,144,5414,4697,4286,3596,2942,2231,1640,1352,1057,981,852,560,514,390,223,145,88,10660,9226,8474,6972,5684,4913,3674,3241,2477,2354,1844,1319,998,847,540,392,232
2024,BEN,Benin,BJ,Oueme,BJ10,Dangbo,BJ1007,68548,67027,135575,11888,9689,8084,6424,6085,5565,4453,3807,3116,2740,2298,1239,1219,763,556,306,316,12498,10072,8510,7151,5657,4934,3905,3216,2672,2417,2204,1034,1262,641,480,196,178,24386,19761,16594,13575,11742,10499,8358,7023,5788,5157,4502,2273,2481,1404,1036,502,494
2024,BEN,Benin,BJ,Oueme,BJ10,Porto-Novo,BJ1008,156376,145374,301750,21977,18549,18001,15329,14763,12993,10727,8892,7598,8023,6097,4814,2865,2742,1193,1161,652,23520,18414,16200,15126,15677,12938,9644,7403,5749,6097,4774,3656,2328,2109,826,675,238,45497,36963,34201,30455,30440,25931,20371,16295,13347,14120,10871,8470,5193,4851,2019,1836,890
2024,BEN,Benin,BJ,Oueme,BJ10,Seme-Kpodji,BJ1009,206618,205170,411788,35057,27683,24481,20120,20357,19339,15589,12446,8986,7655,5488,3696,2111,1803,747,597,463,36389,27893,22890,19203,19545,18239,15639,12716,9586,8351,5463,3645,2519,1822,642,412,216,71446,55576,47371,39323,39902,37578,31228,25162,18572,16006,10951,7341,4630,3625,1389,1009,679
2024,BEN,Benin,BJ,Plateau,BJ11,Adja-Ouere,BJ1101,81108,78757,159865,13467,11858,10338,7747,6910,6553,5644,4633,3505,2909,2284,1523,1204,1081,731,457,264,14113,12728,11067,8423,6784,5638,4492,3803,3152,2742,1834,1164,1027,812,488,332,158,27580,24586,21405,16170,13694,12191,10136,8436,6657,5651,4118,2687,2231,1893,1219,789,422
2024,BEN,Benin,BJ,Plateau,BJ11,Ifangni,BJ1102,85554,79911,165465,14216,11539,9951,7694,8039,7193,5533,4779,3736,3735,2762,1826,1540,1424,742,516,329,14699,11561,9889,8112,7075,6759,5268,4068,2977,2773,2186,1369,1187,1015,515,296,162,28915,23100,19840,15806,15114,13952,10801,8847,6713,6508,4948,3195,2727,2439,1257,812,491
2024,BEN,Benin,BJ,Plateau,BJ11,Ketou,BJ1103,120285,116696,236981,20573,18354,15146,11590,11144,9936,8111,6433,5141,4229,3145,1773,1635,1266,875,512,422,21382,18597,15520,11950,10172,8941,7215,5401,4740,3862,3208,1585,1470,1189,736,367,361,41955,36951,30666,23540,21316,18877,15326,11834,9881,8091,6353,3358,3105,2455,1611,879,783
2024,BEN,Benin,BJ,Plateau,BJ11,Pobe,BJ1104,91558,86066,177624,14969,13356,11163,8828,8331,7234,6146,5182,4038,3483,2518,1833,1347,1510,752,607,261,15203,13870,11525,9086,7556,6477,5088,3989,3184,3021,2226,1372,1122,1112,600,486,149,30172,27226,22688,17914,15887,13711,11234,9171,7222,6504,4744,3205,2469,2622,1352,1093,410
2024,BEN,Benin,BJ,Plateau,BJ11,Sakete,BJ1105,93220,84002,177222,12974,12031,11277,8872,8099,7513,5957,5397,4423,4510,3392,2544,1920,2092,1064,810,345,13718,12651,11277,9469,7920,6629,4687,3893,2960,2936,2285,1578,1305,1299,724,493,178,26692,24682,22554,18341,16019,14142,10644,9290,7383,7446,5677,4122,3225,3391,1788,1303,523
2024,BEN,Benin,BJ,Zou,BJ12,Abomey,BJ1201,55118,49900,105018,7643,6826,7030,5855,5148,3773,3275,3130,2675,2685,2040,1398,1171,989,656,505,319,7879,6889,6574,5585,4799,3733,2966,2283,2008,1995,1550,1034,834,713,495,397,166,15522,13715,13604,11440,9947,7506,6241,5413,4683,4680,3590,2432,2005,1702,1151,902,485
2024,BEN,Benin,BJ,Zou,BJ12,Agbangnizoun,BJ1202,47797,44531,92328,7652,6449,6108,4745,4037,3316,2925,2744,2098,1911,1620,982,1065,780,622,408,335,7666,6559,6222,5112,3792,2926,2517,2059,1768,1503,1266,701,796,592,558,278,216,15318,13008,12330,9857,7829,6242,5442,4803,3866,3414,2886,1683,1861,1372,1180,686,551
2024,BEN,Benin,BJ,Zou,BJ12,Bohicon,BJ1203,130954,120183,251137,20755,17072,16663,14050,12575,10294,8840,7653,5880,5394,3732,2442,1933,1483,1027,756,405,21026,16397,15382,13810,11751,9311,7750,6016,5027,4450,3230,2061,1551,1104,665,476,176,41781,33469,32045,27860,24326,19605,16590,13669,10907,9844,6962,4503,3484,2587,1692,1232,581
2024,BEN,Benin,BJ,Zou,BJ12,Cove,BJ1204,38045,35369,73414,5703,4853,4429,4054,3328,2756,2377,1992,1704,1732,1403,1050,806,802,561,304,191,5968,5049,4566,4300,3573,2618,2046,1571,1207,1340,873,657,530,496,240,235,100,11671,9902,8995,8354,6901,5374,4423,3563,2911,3072,2276,1707,1336,1298,801,539,291
2024,BEN,Benin,BJ,Zou,BJ12,Djidja,BJ1205,89112,84668,173780,15232,14029,12186,8858,7606,6568,5659,4648,3571,2813,2635,1203,1592,964,785,483,280,15419,14070,12701,9340,6722,5494,4571,3878,3015,2452,2415,1042,1299,843,846,379,182,30651,28099,24887,18198,14328,12062,10230,8526,6586,5265,5050,2245,2891,1807,1631,862,462
2024,BEN,Benin,BJ,Zou,BJ12,Ouinhi,BJ1206,44996,43546,88542,7420,6502,5473,4633,4085,3550,2931,2560,1852,1653,1353,761,710,594,502,244,173,7673,6799,5956,4876,3978,3432,2523,2027,1578,1373,1026,612,602,454,323,194,120,15093,13301,11429,9509,8063,6982,5454,4587,3430,3026,2379,1373,1312,1048,825,438,293
2024,BEN,Benin,BJ,Zou,BJ12,Za-Kpota,BJ1207,103503,91468,194971,17558,15978,14152,10122,8279,7203,6358,5733,4473,3528,3094,1518,2011,1178,1144,538,636,18046,15722,13758,10214,6781,5781,4586,4088,2818,2453,2196,1037,1424,863,859,435,407,35604,31700,27910,20336,15060,12984,10944,9821,7291,5981,5290,2555,3435,2041,2003,973,1043
2024,BEN,Benin,BJ,Zou,BJ12,Zagnanado,BJ1208,40515,38887,79402,6451,5921,5228,4280,3254,2919,2355,2259,1736,1781,1297,874,728,672,418,200,142,6462,5826,5598,4705,3553,2659,1985,1764,1410,1346,998,755,653,501,389,191,92,12913,11747,10826,8985,6807,5578,4340,4023,3146,3127,2295,1629,1381,1173,807,391,234
2024,BEN,Benin,BJ,Zou,BJ12,Zogbodomey,BJ1209,58704,56536,115240,10196,8805,7190,5448,4836,4385,3844,3315,2529,2276,1902,988,1098,737,562,301,292,10112,8877,7953,5891,4554,3999,3512,2785,2285,1972,1451,801,819,631,418,271,205,20308,17682,15143,11339,9390,8384,7356,6100,4814,4248,3353,1789,1917,1368,980,572,497
