year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,BEN,Benin,BJ,Atlantique,BJ03,Abomey-Calavi,BJ0301,664014,663128,1327142,107064,82338,77599,66360,68920,62055,50288,40741,30576,28704,18167,12523,6904,5212,2592,2095,1876,112994,82086,69640,62749,78778,64828,48723,38873,29290,28054,18423,12728,6844,4513,1866,1147,1592,220058,164424,147239,129109,147698,126883,99011,79614,59866,56758,36590,25251,13748,9725,4458,3242,3468
2024,BEN,Benin,BJ,Atlantique,BJ03,Allada,BJ0302,86905,83871,170776,14411,11737,10135,8051,7779,6580,5528,4952,4101,3938,3044,1679,1664,1252,933,667,454,14820,12180,10561,9011,7557,6140,5157,4373,3355,3231,2444,1397,1309,1019,656,383,278,29231,23917,20696,17062,15336,12720,10685,9325,7456,7169,5488,3076,2973,2271,1589,1050,732
2024,BEN,Benin,BJ,Atlantique,BJ03,Kpomasse,BJ0303,39000,38337,77337,6055,5320,4657,3661,2986,2641,2349,2317,2048,1787,1475,984,835,715,565,326,279,6332,5817,5253,4400,3248,2518,1890,1769,1572,1468,1264,719,717,545,420,248,157,12387,11137,9910,8061,6234,5159,4239,4086,3620,3255,2739,1703,1552,1260,985,574,436
2024,BEN,Benin,BJ,Atlantique,BJ03,Ouidah,BJ0304,166973,160477,327450,27662,21942,19210,15204,14610,13850,12126,10799,8112,7306,5198,3291,2510,2124,1251,1015,763,29285,22645,19148,14784,13631,12018,10807,9275,7708,7596,4932,2996,2042,1736,961,593,320,56947,44587,38358,29988,28241,25868,22933,20074,15820,14902,10130,6287,4552,3860,2212,1608,1083
2024,BEN,Benin,BJ,Atlantique,BJ03,So-Ava,BJ0305,86765,90398,177163,16870,14297,11577,9237,8417,6470,4573,4105,3115,2581,2016,1028,1099,538,380,203,259,17665,15429,12554,10201,7521,6696,4522,3705,2871,2531,2350,1234,1375,770,528,237,209,34535,29726,24131,19438,15938,13166,9095,7810,5986,5112,4366,2262,2474,1308,908,440,468
2024,BEN,Benin,BJ,Atlantique,BJ03,Toffo,BJ0306,68387,64798,133185,11256,9579,8611,7208,6268,5091,4235,3730,3069,2801,2115,1124,1165,870,615,383,267,11272,9679,8821,7486,5821,5000,3840,3158,2360,2104,1739,932,923,705,512,274,172,22528,19258,17432,14694,12089,10091,8075,6888,5429,4905,3854,2056,2088,1575,1127,657,439
2024,BEN,Benin,BJ,Atlantique,BJ03,Tori-Bossito,BJ0307,36388,35541,71929,6232,5050,4393,3263,2874,2723,2419,2179,1608,1626,1275,745,701,513,365,255,167,6381,5413,4738,3702,2810,2652,2072,1820,1386,1303,1037,642,553,444,306,187,95,12613,10463,9131,6965,5684,5375,4491,3999,2994,2929,2312,1387,1254,957,671,442,262
2024,BEN,Benin,BJ,Atlantique,BJ03,Ze,BJ0308,77433,73750,151183,13754,11560,9729,7666,6982,5806,4638,4414,3223,2762,2198,1193,1318,835,677,394,284,14065,11564,9804,8102,6788,5139,3949,3421,2640,2398,2016,953,1055,729,606,355,166,27819,23124,19533,15768,13770,10945,8587,7835,5863,5160,4214,2146,2373,1564,1283,749,450
2024,BEN,Benin,BJ,Borgou,BJ04,Bembereke,BJ0401,86085,89506,175591,16654,14351,10838,9832,8367,6056,5039,3512,3114,2468,1938,1046,894,786,577,364,249,16916,14389,11321,10110,9221,6641,5319,3684,2968,2575,2189,1194,1092,771,617,286,213,33570,28740,22159,19942,17588,12697,10358,7196,6082,5043,4127,2240,1986,1557,1194,650,462
2024,BEN,Benin,BJ,Borgou,BJ04,Kalale,BJ0402,136352,137483,273835,31282,25800,16871,14005,11846,9586,7650,4853,4279,2956,2660,1283,1243,639,742,268,389,31786,25313,17941,13360,11473,9068,7533,4575,4436,3161,2944,1526,1637,986,899,418,427,63068,51113,34812,27365,23319,18654,15183,9428,8715,6117,5604,2809,2880,1625,1641,686,816
